ITEMNUMBER,count
A0002302,28
A0002304,10
A0002305,122
A0002306,5
A0002308,1
A0002310,2
A0002311,983
A0002312,85
A0002313,82
A0002314,98
A0002315,95
A0002316,2
A0002318,2
A0002319,9
A0002320,4039
A0002321,1
A0002322,13
A0002323,22
A0002324,31
A0002326,5
A0002332,4
A0002337,8
A0002338,214
A0002339,143
A0002340,34
A0002341,1597
A0002342,35
A0002345,9
A0002346,1
A0002349,7
A0002354,33
A0002355,24
A0002356,14
A0002357,15
A0002358,15
A0002359,31
A0002360,26
A0002361,21
A0002362,22
A0002364,34
A0002365,2
A0002366,11
A0002367,10
A0002368,6
A0002369,156
A0002371,1
A0002372,1
A0002377,2
A0002379,1
A0002381,1
A0002383,1
A0002387,2
A0002388,1
A0002389,1
A0002390,2
A0002391,2
A0002393,1
A0002395,1
A0002398,328
A0002399,288
A0002400,416
A0002401,15
A0002402,12
A0002403,267
A0002404,420
A0002405,319
A0002406,11
A0002407,224
A0002408,324
A0002409,256
A0002410,549
A0002411,735
A0002412,595
A0002413,1
A0002415,12
A0002416,12
A0002417,12
A0002419,333
A0002420,2208
A0002421,2
A0002423,3
A0002426,59
A0002432,5
A0002433,47
A0002434,38
A0002435,1
A0002436,2
A0002437,10
A0002438,2
A0002439,46
A0002440,18
A0002441,4
A0002442,5
A0002446,3
A0002447,3
A0002450,9
A0002451,10
A0002454,4
A0002455,1
A0002456,1
A0002457,3
A0002458,1
A0002460,1
A0002464,1
A0002479,1
A0002481,2
A0002483,36
A0002487,1
A0002491,1
A0002495,2
A0002496,7
A0002497,8
A0002499,1
A0002500,1
A0002501,7
A0002502,7
A0002503,8
A0002504,6
A0002505,11
A0002506,6
A0002507,45
A0002508,60
A0002509,46
A0002510,47
A0002513,2
A0002514,29
A0002515,6
A0002516,25
A0002517,1
A0002519,1
A0002521,2
A0002522,3
A0002523,1
A0002526,1
A0002527,2
A0002528,5
A0002531,54
A0002535,121
A0002536,111
A0002537,235
A0002538,130
A0002539,269
A0002540,196
A0002541,214
A0002542,188
A0002543,50
A0002545,271
A0002548,1
A0002549,2
A0002550,1
A0002552,41
A0002553,1
A0002554,1
A0002555,20
A0002556,308
A0002557,127
A0002558,36
A0002559,21
A0002561,1
A0002562,2
A0002565,1
A0002566,12
A0002568,10
A0002570,2
A0002571,3
A0002572,3
A0002573,17
A0002574,6
A0002575,9
A0002576,1
A0002577,2
A0002578,1
A0002580,1
A0002581,19
A0002582,11
A0002583,19
A0002584,11
A0002586,3
A0002587,20
A0002589,10
A0002596,2
A0002597,12
A0002598,2
A0002599,62
A0002600,29
A0002601,41
A0002602,10
A0002603,11
A0002606,2
A0002607,1
A0002608,39
A0002609,114
A0002610,132
A0002611,287
A0002613,361
A0002616,308
A0002618,8
A0002619,1
A0002620,26
A0002622,1
A0002623,118
A0002624,210
A0002625,161
A0002626,355
A0002627,246
A0002628,180
A0002629,184
A0002637,3
A0002640,1
A0002641,4
A0002642,20
A0002644,12
A0002646,17
A0002654,1
A0002655,6
A0002656,25
A0002659,17
A0002663,17
A0002665,9960
A0002666,403
A0002667,2373
A0002668,3762
A0002669,3930
A0002670,1235
A0002671,936
A0002672,137
A0002673,635
A0002674,1149
A0002675,1020
A0002676,292
A0002677,210
A0002678,247
A0002679,1723
A0002680,2653
A0002681,2911
A0002682,929
A0002683,711
A0002684,288
A0002685,263
A0002686,529
A0002687,546
A0002688,5
A0002689,4
A0002690,1
A0002692,167
A0002693,1
A0002696,42
A0002697,22
A0002698,6
A0002700,178
A0002701,122
A0002702,724
A0002703,922
A0002704,335
A0002705,190
A0002706,220
A0002707,110
A0002708,875
A0002709,139
A0002710,131
A0002711,641
A0002712,432
A0002713,174
A0002714,81
A0002715,101
A0002716,383
A0002717,302
A0002718,204
A0002719,58
A0002720,3
A0002721,529
A0002722,408
A0002723,570
A0002724,38
A0002725,29
A0002726,22
A0002727,89
A0002728,16
A0002729,16
A0002730,122
A0002731,137
A0002732,203
A0002733,176
A0002734,119
A0002735,110
A0002736,137
A0002737,68
A0002738,452
A0002739,353
A0002740,148
A0002741,87
A0002742,16
A0002743,15
A0002744,32
A0002745,23
A0002746,11
A0002747,10
A0002748,55
A0002749,61
A0002750,50
A0002751,54
A0002752,104
A0002755,8
A0002756,1
A0002757,1
A0002758,3824
A0002759,2276
A0002760,4973
A0002761,15
A0002762,1
A0002765,19
A0002766,67
A0002767,74
A0002768,10
A0002769,60
A0002770,35
A0002771,38
A0002772,21
A0002773,20
A0002774,64
A0002775,48
A0002776,13
A0002777,10
A0002778,15
A0002779,51
A0002780,25
A0002781,20
A0002782,42
A0002783,19
A0002784,1
A0002787,4
A0002788,1
A0002793,1
A0002794,125
A0002795,204
A0002798,3
A0002799,2
A0002807,1
A0002825,7
A0002827,4
A0002829,13
A0002830,32
A0002831,428
A0002832,4
A0002833,2
A0002834,2
A0002835,52
A0002836,2
A0002837,2
A0002838,297
A0002839,17
A0002840,25
A0002841,1
A0002842,2
A0002843,6
A0002844,3
A0002846,2
A0002847,67
A0002848,146
A0002849,545
A0002850,8
A0002851,1161
A0002853,4
A0002855,5
A0002856,34
A0002857,2
A0002859,54
A0002860,10
A0002861,14
A0002862,17
A0002863,15
A0002867,7
A0002870,101
A0002871,385
A0002874,3
A0002875,2
A0002876,1
A0002879,24
A0002882,34
A0002883,143
A0002889,1
A0002891,1
A0002893,1
A0002895,704
A0002896,1
A0002897,275
A0002900,164
A0002901,5
A0002902,20
A0002903,39
A0002905,88
A0002906,51
A0002907,198
A0002908,6
A0002910,4
A0002911,7
A0002912,6
A0002913,8
A0002914,12
A0002915,4
A0002917,10
A0002918,80
A0002924,10
A0002927,484
A0002928,450
A0002929,260
A0002930,439
A0002931,354
A0002932,459
A0002933,818
A0002934,311
A0002935,867
A0002936,3
A0002937,526
A0002938,442
A0002939,467
A0002940,5
A0002941,26
A0002942,3
A0002944,5
A0002946,8
A0002947,1
A0002948,1
A0002949,1
A0002950,1
A0002951,10
A0002957,1
A0002958,3
A0002961,1
A0002964,77
A0002966,373
A0002967,415
A0002968,498
A0002969,1
A0002970,166
A0002972,767
A0002973,25
A0002974,36
A0002976,5
A0002977,11
A0002978,5
A0002979,11
A0002980,5
A0002981,7
A0002983,17
A0002984,13
A0002985,9
A0002986,5
A0002989,11
A0002990,10
A0002991,9
A0002992,7
A0002993,5
A0002994,7
A0002995,8
A0002996,7
A0002997,28
A0002998,35
A0003000,22
A0003001,26
A0003002,15
A0003003,66
A0003004,27
A0003005,30
A0003006,52
A0003007,5
A0003008,3
A0003009,74
A0003010,34
A0003011,46
A0003013,100
A0003014,133
A0003015,6
A0003016,33
A0003017,29
A0003018,3
A0003019,105
A0003021,95
A0003024,4
A0003025,2
A0003026,7
A0003027,5
A0003028,3
A0003031,9
A0003032,701
A0003035,4
A0003040,181
A0003041,1
A0003045,4127
A0003046,4679
A0003047,81
A0003048,62
A0003049,1135
A0003050,463
A0003051,808
A0003052,297
A0003053,228
A0003054,327
A0003055,343
A0003056,207
A0003058,474
A0003059,265
A0003060,229
A0003061,156
A0003062,400
A0003063,210
A0003064,91
A0003065,39
A0003066,325
A0003067,242
A0003068,158
A0003069,113
A0003070,192
A0003071,144
A0003072,4
A0003073,535
A0003074,230
A0003075,2
A0003076,150
A0003077,103
A0003078,1
A0003079,364
A0003080,107
A0003081,2
A0003082,345
A0003083,408
A0003085,2
A0003086,130
A0003087,137
A0003088,231
A0003089,162
A0003090,342
A0003091,118
A0003092,281
A0003093,288
A0003094,36
A0003095,252
A0003096,226
A0003097,35
A0003098,49
A0003099,11
A0003100,73
A0003101,318
A0003102,104
A0003103,95
A0003104,90
A0003106,168
A0003107,2
A0003108,1
A0003111,6
A0003113,2
A0003114,3
A0003115,1
A0003116,81
A0003117,165
A0003118,1
A0003119,4
A0003120,5
A0003121,3
A0003122,4
A0003123,3
A0003124,4
A0003127,1
A0003128,62
A0003129,4
A0003130,2
A0003131,1
A0003135,12
A0003136,1136
A0003138,10966
A0003139,5862
A0003140,39
A0003141,8
A0003142,3
A0003143,3
A0003144,12
A0003145,20
A0003146,37
A0003147,3
A0003148,5
A0003149,125
A0003150,11
A0003151,14
A0003153,87
A0003174,14
A0003175,18
A0003176,57
A0003177,56
A0003178,58
A0003179,282
A0003180,274
A0003181,67
A0003182,273
A0003184,10
A0003185,21
A0003186,2
A0003187,1
A0003188,68
A0003189,34
A0003190,16
A0003191,87
A0003192,2
A0003194,12
A0003195,25
A0003196,14
A0003197,18
A0003199,192
A0003200,28
A0003201,44
A0003202,76
A0003203,1133
A0003204,909
A0003205,768
A0003206,1194
A0003207,783
A0003208,410
A0003209,69
A0003210,113
A0003211,4
A0003212,1
A0003214,10
A0003217,1
A0003221,1
A0003222,168
A0003223,1
A0003224,6
A0003225,1
A0003226,2
A0003227,12
A0003228,1
A0003229,5
A0003230,3
A0003231,16
A0003232,4
A0003233,5
A0003234,10
A0003235,5
A0003236,10
A0003237,32
A0003238,30
A0003239,63
A0003240,21
A0003241,38
A0003242,15
A0003243,1
A0003244,5
A0003245,1
A0003247,1
A0003248,3
A0003249,2
A0003252,1850
A0003253,350
A0003254,262
A0003255,886
A0003256,189
A0003257,166
A0003259,386
A0003260,270
A0003261,231
A0003262,205
A0003263,372
A0003264,492
A0003265,260
A0003266,358
A0003267,432
A0003268,220
A0003269,435
A0003272,7
A0003275,10
A0003276,28
A0003277,1
A0003279,1
A0003280,2
A0003281,1
A0003282,1
A0003283,1092
A0003284,6
A0003289,1
A0003291,4
A0003292,59
A0003296,3
A0003297,1
A0003300,7
A0003304,1
A0003305,5
A0003306,9
A0003308,92
A0003309,466
A0003310,374
A0003312,2
A0003316,317
A0003317,382
A0003318,219
A0003319,199
A0003320,144
A0003321,111
A0003322,343
A0003323,379
A0003324,145
A0003325,144
A0003326,344
A0003327,104
A0003330,1
A0003333,473
A0003336,595
A0003337,123
A0003338,246
